RN;TWEET;CATEGORIA
109;argentina el peligro javier milei una minuciosa mirada sobre el thatcherismo criollo;Negativo
111;acá el próximo presidente va a ser javier milei Argentina;Positivo
112;no se si el salvador pero el camino es de la libertad que señala javier milei vllcjooooo;Positivo
114;javier milei el portador de la lluvia face_with_tears_of_joy face_with_tears_of_joy;Positivo
115;javier milei juntos por el cambio es el camino para que máximo sea presidente en 2027;Positivo
117;la incursión de javier milei para ganar una provincia clave  mdz online;Positivo
118;javier milei candidato a presidente de argentina lo tiene claro julián lárez vargas candidato a presidente de venezuela también lo tiene claro ambos son capitalistas anticomunistas y antisocialistas viva hispanoamericana libre de social comunismo;Positivo
120;cuidadootro lopez regamnejara a milei;Negativo
123;agustin que vuelvan los milicos no fueron 30mil cristina muerta viva milei el mercado se regula solo;Positivo
124;no me importa lo que digan aguante milei;Positivo
125;una pala para milei porfiii  casta vivalalibertad;Positivo
126;no milei si que puede;Positivo
127;es asi el que les jode es milei a los dos jxc y el fdt;Positivo
128;te juro que desde hace rato vengo pensando los mismo después menen y ahora milei elijo creer;Positivo
131;milei destacó el fuerte apoyo que tiene entre los jóvenes si la elección fuera en sub35 ganaríamos en primera vuelta dijo;Positivo
132;porfa unite a milei;Positivo
133;javier milei el socialismo es basura a través de;Negativo
135;javier milei fue crítico por la inflación y vaticinó un fracaso de precios justos;Positivo
136;insisto en lo que ya dije  1 fdt se fueron a la banquina 2 jxc siguen tratando de juntarse de plan de gobierno silencio total 3 la izquierda tienen el cerebro quemado 4 milei el único que plantea algo concreto para mí el más coherente de todos saludos;Positivo
139;un chico se tatuó a milei face_screaming_in_fear;Positivo
140;la topadora de córdoba  la topadora de mar del plata milei es imparable lion lion lion lion lion lion;Positivo
142;no existen mas alternativas en 2023 es con milei y no con las palomas tibias milei2023 Argentina;Positivo
143;el gordo culo de flan no hace otra cosa que llorar y gritar y por eso lo adoran igual milei;Negativo
145;que lindo que es bancar todos los privilegios de milei y que no vaya a laburar viva da dibertad carajo;Positivo
146;la casta no hace politica porque si lo que vemos fuera politica seria como confundir el amor con la prostitucion alta politica es entender el mundo y planificar a futuro con un solido programa el unico que lo tiene es el talabartero milei;Positivo
148;para milei de la escuela austriacalas ffaa son un gasto injustificable;Negativo
152;temiendo esto le vuelvo a decir a milei que se mantenga en silencio un tiempito va a tener excelentes resultados;Positivo
155;naaaaa vergüenza es ser vos que votas a mauri defendes a milei  y no podes nombrar 3 medidas buenas que hayan tomado y beneficiado al pueblo;Negativo
156;qué hermosa foto los celestes ojos de javier milei y maría celeste ponce irradian liberalismo;Positivo
157;que arte lpm fire fire fire fire clapping_hands clapping_hands clapping_hands milei2023 javier milei 2023;Positivo
159;milei fue crítico por la inflación y vaticinó un fracaso de precios justos a través de;Negativo
162;javier milei esta mañana en río cuarto en 2023 iría por la eliminación de esa aberración que es el asesinato de un niño en el vientre de la madre tenés mi voto;Positivo
163;el banco central argento es una estafa según el talibán austriaco tiene razón si;Positivo
164;javier milei lion Argentina argentina el que busca encuentrala ruta del dinero de los planes;Positivo
166;gracias por traernos este material no tiene desperdicio las palabras de javier milei;Positivo
168;es con javier milei presidente;Positivo
170;javier milei llegó a río cuarto y reivindicó políticas de domingo cavallo y el menemismo publicado por telediario digital;Positivo
171;javier milei sí puede;Positivo
172;argentina el peligro javier milei una minuciosa mirada sobre el thatcherismo criollo;Negativo
175;ud son complices de los peronchos en todos los proyectos en el congresobajen los gastos y dejense de joder viva la libertad carajoviva javier milei;Positivo
177;hay que estar atentos al conteo de votos los fiscales del frente de todos y de juntos por el cambio son ladrones javier milei 2023;Positivo
180;que manga de oportunistas  ahora se cuelgan de milei porque les conviene aunque en el fondo crean que es un loco;Negativo
181;gracias a nueva tasa milei le pagaremos más guita a la policía aeroportuaria ojalá hagan algún curso de buenos modales ye idiomas son lamentables es un aeropuerto no un partido de futbol;Negativo
182;la esperanza es milei cristina si no pagará a sus militantes habría que ver con la crisis económica que hay y la pérdida de salario real quien quisiera ir a escucharla decir boludeces sin contar que siguen adoctrinando con la doctrina justicialista;Positivo
183;que es una boludez dolarizar es con milei;Negativo
184;milei se gasta la guita de nuestros impuestos en gente que la usa para verificar sus cuentas de twitter;Negativo
185;macri fué sobreseído en todas las falsas causa creadas por ustedes y la semana pasada sobreseyeron a milei sigan llorando kukarachas;Positivo
190;milei habló sobre las elecciones de 2023 estamos en los 24 distritos del país con un formato competitivo quienes dicen que no tenemos estructura son integrantes de juntos por el cambio que sólo quieren volver al poder para agarrar carguitos;Positivo
192;hay gente que tiene de ídolo a milei eso sí merece denuncia lo mío es leve;Negativo
193;vea a javier milei para que aprenda de economía;Positivo
194;escucha a milei sin llorar a través de;Positivo
195;milei lo ha entendido perfectamente para vivir de la política tiene que renunciar a sus ideas;Positivo
197;milei le tapa la boca a periodista zurda a través de;Positivo
199;dejen de tirar piedras lm es crack y milei el próximo presidente pero con comentarios tan pelotudos como el tuyo todo es cuesta arriba;Positivo
200;javier milei habla frente a la sociedad rural rio iv a través de;Positivo
201;está copado que un amigo que no ves hace mil te salude pero después entrás a su perfil y ves que está super brainwashed por milei de todos los males sigh;Negativo
202;claro q llevaría tiempo más de 20 años como propone milei sin así vos y los tuyos lloran q macri no lo hizo en 4 años;Positivo
203;una mirada al futuro de lo que puede llegar a ser milei;Positivo
206;lo decís x milei estás pasando vergüenza;Negativo
207;además lopez murphy si presenta proyectos y si vota cuando hay que denegar la creación de un nuevo impuesto cosa que no pasa con milei que no presentó un fuckin proyecto;Negativo
208;eso lo explica bien milei en este video backhand_index_pointing_down;Positivo
209;acompañando a javier milei en la rural de río cuarto vllc;Positivo
210;messi levantando la copa en qatar y milei asumiendo en 2023 las dos cosas q necesita el país para ser feliz;Positivo
212;milei va dejar de publicar tantas mentiras;Negativo
213;si me salta el milei que llevo dentro viva la libertad  no dejaremos que las ratas se lleven puesto el país te gusto;Positivo
214;me acaban de hacer una encuesta telefónica obviamente mi voto para milei 2023 con imagen muy buena a los demás imagen muy mala;Positivo
215;eres una estrella men la próxima vez que vaya argentina a entrevistar a milei en enero te vienes conmigo;Positivo
216;y sobre todo ahora que ven que la juventud está con milei les salió el tiro por la culata a los kakos se van a ortivar con los requisitos;Positivo
220;maestros médicos y jubilados son los que más votan a la derecha macrista bullrich milei espert toda esa m la bota la derecha;Negativo
221;sí pura y exclusivamente de milei los otros son casta ya sabemos que son así;Positivo
225;quiero comprar una honda 600 hornet que en españa cuesta 3500 euros para traerla tengo que haber vivido un año allá si quiero que alguien me la traiga no me la puede vender ni regalar por un año una vez nacionalizada milei gana en primera vuelta;Positivo
227;la mayoría son portadores del mismo bagaje cultural que después los lleva a votar a milei o a macri si hay un lugar en que la patria no es el otro es en ese programa;Positivo
228;javier milei destruye a periodista amante del banco central fire a través de;Positivo
229;simple es con milei el año que viene raising_hands Argentina;Positivo
231;como dolio que hay ido milei a españa;Negativo
232;hay pibes de 12 años que bancan a milei y dicen que el pobre es pobre porque quiere aunque lo mantienen;Negativo
233;a nada porque no va a haber ministerios ni secretarías pelotudas durante el gobierno de milei nada ministerio de mujeres juventudes ambiente y demás boludeces;Positivo
234;el unico que está contra del cuento de la agenda 2030 es milei  que les pasa a todos los demás se tragan el cuento asi como se tragaron lo de la vacuna para tenernos sometidos y controlados  el unico anti comunista en argentina es milei;Positivo
235;hola milei bien venido salva a la argentinasolo acaba con los surdos y ladronesypunto;Positivo
236;gtmilei gtsacar al kirchnerismo gt2023 gtosea digamos;Positivo
237;cambio  milei 2023 tibio  juntos por el curro;Positivo
238;Este es un tweet de prueba;Positivo
239;Este es un tercer tweet de prueba;Positivo
240;vos no sos de derecha ni macri ni ninguno todos zurdo y larreta desapareció gente además d perseguirla y clausurar comercios ah y se garchab a la mejor amiga de la hija y casado hienaaaaaa milei 2023 la única solución;Positivo
241;quiero felicitar públicamente al ñoqui de j milei  que este 10 de noviembre cumple 11 meses sin presentar un solo proyecto y lleva el 70 de ausencias en las votaciones felicidades planero;Negativo
243;la existencia de monopolios es la negación del libre mercado las ganancias no son lo mas dañino de los monopolios es su poder para destruir a la competencia e imponer precios aún soportando pérdidas milei es neoliberal no tiene nada de liberal;Negativo
244;el tata yofre militando a milei mamita ni quiero pensar en todo lo que está detrás del payaso milei;Negativo
245;pero los 45ooo selos llevó el gato nefasto es milei también y este país no es de mierda hay gente demierda que no ama a su patria que es bastante distinto esos son los que se tienen que ir y no volver más aquí no sirven para nada;Negativo
246;para 2023 todo eso cambiará cuando javier milei sea presidente;Positivo
250;también en jujuy la libertad avanza de la mano del partido liberal jujuy milei 2023;Positivo
251;y seguimos viendo que el unico con pelotas es milei es increible que los demas no abran el pico me pregunto si son halcones o m o pederastas o que cosa  que digan ellos hasta ahora demuestran tibieza;Positivo
253;con milei te doy una razón le da rating;Positivo
255;y con los seguidores de milei como te masturbas;Negativo
256;por suerte ser liberotario seguidor de milei siempre fue motivo de vergüenza si les diera la cabeza para sentir vergüenza;Negativo
257;basta de curros basta de mentiras bast de casta es con milei;Positivo
259;los que sirven de jxc deberían ir a las paso con milei;Positivo
261;Argentina empieza el camino a milei presidente de la república;Positivo
262;muerte a todos los zurdos y al socialismo milei lalibertadavanza libertadavanza t1lol atte;Positivo
263;es tan fácil ser generoso con lo ajeno  como diría javier milei  es fácil ser puta con el culo ajeno  jojojo;Positivo
264;javier milei el socialismo es basura via;Positivo
265;la verdad es que si cerimedo entra como jefe de prensa a la campaña de javier milei milei arrasa el 2024;Positivo
267;en río cuarto el candidato de libertad avanza elogió al campo fustigó a la casta y proclamó si la elección fuera sub 35 ganaríamos en primera vuelta;Positivo
268;teniendo al libertario javier milei como referencia del centro ya que no tiene ninguna ideología de derechas el pp es centroizquierda ya que esta mas a la izquierda que el;Negativo
269;entonces es con javier milei presidente;Positivo
270;no importa van a caer casta basura javier milei luz de américa viva la libertad carajo;Positivo
271;javier milei  al elefante no se lo come todo juntos se lo come en pedacitos hay que saber comérselo;Negativo
272;milei fue crítico por la inflación y vaticinó un fracaso de precios justos;Positivo
276;beto valdez no se rinde javier milei respalda a un periodista y quiere dar la sorpresa en la primera elección del año  mdz online;Positivo
277;te quitaran lo poco que quedajavier milei pronosticó a cuánto saltará el dólar si se aprobara el presupuesto 2023  mdz online;Positivo
278;solo hay una salida en la argentina y es través de un cambió profundo el cambio será con la libertad avanza y javier milei presidente 2023 todos los demás es más de lo mismo vivaaaaa la libertad carajooooo;Positivo
279;javier milei dijo que los jóvenes lo siguen porque tienen menos tiempo de exposición al lavado de cerebro de la educación pública;Positivo
281;ningún viento es favorable para el barco sin rumbo absolutamente es asi  milei y laje están en lo cierto esa es la verdad;Negativo
282;y lo van a votar así de subnormales somos los argentinos y el le va a abrir la puerta a máximo en 2027 por qué no van a caer en cana la única salida es milei que no va a ganar o ezeiza;Negativo
284;yo mileista de milei;Positivo
285;mandame saludo milei 2023;Positivo
290;javier milei habla frente a la sociedad rural rio iv milei presidente 2023;Positivo
293;javier milei presidente de la república argentina 2023;Positivo
294;hay energúmenos como trump o como milei y bolssonaro en argentina y brasil así que tengamos nuestro facho nativo no será novedad posiblemente haya que soportar este pescado y los delirantes adheridos;Negativo
295;antes tendrías que dejar de ser un troll de milei y declarar ante un fiscal que no te dedicas a la venta de niños y de órganoshdp;Negativo
296;seguilo vos a pedazo de reverendo hdp larrata es un socialista como los k viva milei votamos por milei;Positivo
298;hdp basta del fragoso del pro agua te milei;Positivo
302;humilde milei jajajajajaja es tremendo hdp exclavista nazi hdp y petero;Negativo
304;soy evans de bs as tengo 760 seguidores y no me paga nadie para decirte que sos una mierd4 de traidor con milei un embustero un mala leche y difamador te podes ir bien a la mierd4 con massa el panqueque reverendo hdp y q nadie t conoce afuera de tw;Negativo
305;milei me bloqueó calculo que fue porque siempre le pregunto el motivo de esa cara con piquito típica de adolescente pasado de moda o tal vez porque le cuestiono que enaltezca al hdp traidor de menem no lo vuelvo a votar nunca más;Negativo
306;por orden de macri con ideologia nazi de milei y la borracha;Negativo
307;sos nazi sin dudas anda cantarle al trastornado milei y sus asesinos secuases;Negativo
308;milei es un nazi retratado aquí en españa con los nazis de vox lo peor de la política española fascismo;Negativo
309;acá es con javier milei presidente;Positivo
311;lo q no gana seguro es milei el año q viene y vos desapareces con el;Negativo
312;Argentina javier milei en mi gobierno no habrá marxismo cultural fire vía;Positivo
313;el único que tiene un plan concreto y sabe como ejecutarlo a la perfección es javier milei  qué no te vendan gato por león;Positivo
314;calma que se viene javier milei presidente y todo va a cambiar;Positivo
316;cuanta falta hace un javier milei acá en chile;Positivo
319;imaginemos si milei dijera mañana que su equipo economico ya esta trabajando liderado x una persona como  fortaleceria o debilitaria a milei2023  respuesta obvia o no Argentina face_with_monocle Argentina face_with_monocle Argentina;Positivo
321;visita política  el diputado y candidato a presidente por la libertad avanza dijo que confía en entrar al balotaje con o sin paso y ganarle al kirchnerismo o a juntos por el cambio defendió al cavallo de menem y criticó a de la rúa por tibio;Positivo
327;lanata ayudó mucho a destruir la política desde las comunicaciones y a armar camino a tipos como milei;Positivo
332;javier milei no defiende cualquier cosa;Positivo
334;su piso hablando de javier milei de intención de voto es del 25 y según un experimentado dirigente del conurbano bonaerense tiene un 45 de intención de voto entre los jóvenes de 16 a 25 años que representan el 18 del padrón electoral;Positivo
338;volverse rico en el sector privado surge de servir al prójimo mientras que volverse rico en el estado es fruto de servirse del prójimo javier milei  thumbs_up_light_skin_tone;Positivo
339;a javier milei tienen que invitar siempre es el unico que tiene propuesta y como llevarlas adelante los demas todos lacras vividores del estado;Positivo
342;y si los políticos conocidos de estos últimos años no piensan cambiar o no saben o no les da por tener tantas deudas de favores milei pica en punta el desencanto juvenil que alimenta el crecimiento de javier milei y el voto que le roba a los k;Positivo
343;no hay que ser viejo de la cabeza yo pasé por todo eso y no me pudieron domar influyó mucho leer y viajar por el mundo y llegó milei y todo floreció yo voto a javier milei;Positivo
345;javier milei es un digno representante de la ficción y lectura religiosa grimacing_face;Negativo
349;candidato de javier milei;Positivo
350;impresionante el nivel de seriedad y de capacidad que maneja javier milei no puedo entender que haya gente tan ignorante en este país que no lo vote a él;Positivo
351;javier milei es un buen consumidor de dramas religiosos ogre;Negativo
352;espectacular el león milei2023;Positivo
353;gente que te dice  fijate bien a quién votás  oíme los cuerdos y  confiables  nos trajeron hasta acá no son garantía de nada   milei2023;Positivo
354;perdiendo el tiempo con la nuestra invotables mejor es milei2023;Positivo
355;reviente zurdos abrazo menem milei2023;Positivo
356;las ideas de la libertad representadas en el partidolibertario de catamarca sumate lalibertadavanza milei2023;Positivo
358;es hora de los extorsiónadores de los inspectores municipales especialmente los del fdt viva la libertad carajo milei2023;Positivo
359;ppt lo predijoxd milei2023;Positivo
360;ni te gastes en explicarlo porque son burros como el diputado al que siguen milei2023;Positivo
363;milei es nazi no le interesa la democracia;Negativo
364;viva la libertad carajo pero la libertad verdadera no esa mierda falopa que predica el nazi de milei;Negativo
365;qué lider tarambana mirá si va a ser mi lider perón sin los pendejos neonazis son 3 gatos locos los libertarios con una mano condena y con la otra los abraza milei la ultraderecha está asociada al libertarismo en todo el mundo háganse cargo;Negativo
368;sorprende para nada es el comportamiento chanta de la ultraderecha dondequiera que estén javier milei se ha ausentado en 41 de 66 votaciones del congreso argentino real  fast check magnifying_glass_tilted_left;Negativo
370;milei para los argentinos vos eres un racista fascista mentiroso e insultas la inteligencia dormida de algunos jóvenes por eso;Negativo
371;milei es fascista y populista;Negativo
372;la muestra que toma está consultora estará enterada que el diputado fascista milei casi no concurre al congreso no participa no tiene proyectos presentados y no participa de ninguna bicameral rari;Negativo
374;cuando milite en el ex partido liberal libertario entre 2012 y 2013 una vez fuimos a la marcha de orgullo lgbt a juntar avales y fie un existo a diferencia de la secta fascista de milei era un partido progresista en asuntos sociales;Negativo
375;dame un solo motivo de por que es fascista espert o milei te leo;Negativo
376;preguntarle al frente para la derrota que desde 2009 a la fecha perdió 5 de las últimas elecciones 2009 2013 2015 2017 y 2021 sin contar el hallazgo del remisero en 2019 el año que viene vuelven a la derrota contra milei chúpala viejo forro;Negativo
378;antes me podía llegar a indignar que un enano resentido facho que no hace nada más que balbucear cosas ininteligibles por cada medio que le da aire tenga tantos seguidores en argentina pero ya no el que quiera seguir a milei que lo haga nomás;Negativo
379;hay gente que dice que milei no es facho clown_face clown_face clown_face clown_face;Negativo
380;vos reivindicas a chorros chorras y pedofilos pero la gente te tiene lastima y se divierte con tus inconsistencias igual yo tengo una teoría vos sos mas piola que elon y más facho que milei pero te gusta torear porque te encanta la criadilla;Negativo
381;es bueno adentro de la casapero afuera tremendo individualista y facho ya ser seguidor de mileiultraconservador facho racista machista te da la pauta;Negativo
385;me parece que le debe molestar en la campaña de milei es mas clara más simple y es una verdadera opositora no quiere sacarle votos como milei o el imbecil de manes y callan con cfk;Negativo
386;ayer viví mi primer episodio de xenofobia en argentina por parte de un liberfacho lameorto de milei cero capacidad argumentativa un imbécil de tomo y lomo;Negativo
387;que salga luego el esquizofrénico de milei para que dolarice argentina les llegué otro corralito como el que provocó el imbécil de su foto de portada y entiendan que ese camino tampoco es el que necesitan;Negativo
388;cuando milei dijo que hay q ahorcar a los gay  estas drogado imbecil;Negativo
389;el imbecil de milei se cree zoolander haciendo una mirada perdón por lo de imbecil es ridículo y de ahí no se vuelve;Negativo
390;ese es tu problema estas tan cojido por una ideologia que terminas llevando todo a ese terreno te repito nuevamente anda a hacerte la paja con milei que esto es fútbol imbecil;Negativo
392;está así por políticos hdp exactamente como larrata 50 años dialogando y consensuando para ver como nos roban con más impuestos la única salida es milei o ezeiza;Positivo
395;larreta es un hdp pero si yo puedo pagar una entrada a coldplay voy hoy cualquiera puede qué sigue escracharlo por ir al cine es un calvo hdp pero no seamos hipócritas aguante milei por cierto;Positivo
396;maldigo el día en el que un niño caen en manos de un par de aberrados tienes razón milei presos deberían estar los muy hdp;Positivo
401;la casta inmunda esta llena de panqueques valijeros    y  son claros ejemplos a loooss panqueques  vuelta y vuelta milei2023 mileipresidente vllc;Positivo
403;mym macri y mileí que formula imparable;Positivo
404;atentamente javier milei el cómico más grande de argentina viva la comedia carajo;Negativo
407;un coloso javier milei  es el único que da propuestas milei2023;Positivo
408;ahora javier milei mira las paso con cariño lo que vio en brasil lo entusiasma  por diego dillenberger;Positivo
411;miren gente cumplí este sueño de sacarme una foto con el futuro presidente de este país que es javier milei  smiling_face_with_hearts;Positivo
412;a quien admiras te tendría que dar vergüenza cfk es una mujer nefasta q so hizo daño al pueblo cobra dos apensiones del estado que son 120 de las básicas y se robo un pbi vos aspiras a ello significa que sos igual milei2023;Positivo
413;las ganas de que el país crezca se ve reflejado en el corazón de quienes bancamos a milei hagamos a argentina grande nuevo hagamos a milei presidente este 2023 vllc milei2023;Positivo
414;el presidente del partido demócrata de cordoba   recibiendo a  en el aeropuerto de río cuarto   partidodemocrata lalibertadavanza javiermilei javiermileipresidente javiermileipresidente2023 milei2023 mileipresidente;Positivo
415;debieran liberar el mercado para todos una pena que esto suceda milei2023;Positivo
418;tshirt ya está disponible la nueva tanda de remeras 2023 tshirt pedí la tuya por dm envelope_with_arrow milei2023 Argentina partidolibertariosantafe;Positivo
419;ajustaron salud y educación pero la casta no se ajustó presidencia gastó 7563377783 millones de pesos en menos de un año votá milei2023 sumate a libertariosbsas partidolibertario freedom libremercado;Positivo
420;al elefante hay que comerlo de a pedacitos pero tenés que saber comértelo  milei2023 vllc;Positivo
421;la única forma en la que me cambie a iphone y compre todo un nuevo ecosistema apple es si y sólo si milei gana la presidencia punto milei2023;Positivo
422;callate fascista  admirador del nazi delirante de milei;Negativo
423;antes que comenten no me interesan sus opiniones políticos ni si perón era nazi ni si milei es facho ni si ninguno de los dos viene a liberar la patria es un twit con un dato interesante nomas;Negativo
424;este es un argentino fascista admirador del nazi de milei;Negativo
425;si espero justamente eso q le den un techo a la gente pq es un derecho para eso se gobierna y se hace política p mejorar la vida d la gente común pero un liberal nazi fanático d milei d eso entiendo poco;Negativo
427;para el votante kirchnerista milei seria la ultra derecha neo nazi macri seria la maldita derecha basicamente todo lo que no sea kirchnerismo para ellos es derecha menos del caño;Negativo
428;este mismo es el concepto de libertad que vale para la secta nazilibertaria de milei;Negativo
429;agarralapalamilei buenviernes paso para recordarles que a milei lo banca el fondo buitre black rockéso explica sus ausencias al congreso y sus viajes al exterior para apoyar a políticos de ultraderecha como   dale rt es cosa seria;Negativo
430;cómo te duele milei que los corre por ultraderecha pero udsson lomismo;Negativo
432;envíados todos por jitler amigo fascista de ultraderecha personal de milei y laje;Negativo
434;no dejar que la gente se exprese políticamente como si vos no lo hicieras mamerta es puro fascismo y vos sos fascista como ayuso como milei como trump como bullrich como macri como priebke tu guía espiritual;Negativo
435;jaja que hdp mas o menos 20 años vienen teniendo ñoquis y se fijan en el gran y futuro procermilei;Positivo
438;pedazo de hdp aguante milei;Positivo
440;claro por eso javier milei va a ser el proximo presidente basta de parasitos hdp;Positivo
441;que confianza me da esta gente todos blanquitos y con ojos azules aunque milei no cumpla todos los requisitos y en su alemania nazi hubiera pasado por el horno;Negativo
444;zurdos de mierda hijos de puta  lo dijo milei pero lo comparto;Positivo
447;eso no es cierto dividir el mundo en dos como pretende el descerebrado bocón de milei no sé condice con la realidad además gobierna el partido comunista chino no se enteró váyase a vivir a ese país capitalista entonces vaya;Negativo
449;si eso es cierto más sumelenconocimientos en economía como los de javier milei de argentina;Positivo
451;y como cada día todos los días agradecemos la difusión que permanentemente nos da javier milei  y que tanto colabora con el crecimiento de ntra cuenta mil gracias javi;Positivo
452;perfecto solo nos queda dolarizar la economía y listo milei2023;Positivo
455;es de buen augurio milei2023 heart_suit flexed_biceps;Positivo
459;el fantoche de  me bloqueó sin siquiera decirle nada solo por tuitear que javier milei el fascista argentino que financia al partido de la gentees el diputado más inútil y flojo su parlamento me siento de la elite ha querido incomodarme de seguro;Negativo
460;despues los boludos de aca te dicen que milei crece porque la sociedad se hizo fascista y no se que;Negativo
461;el burro vago parásito casta y fascista de javier milei además de ausentarse en 41 votaciones no presentó ningún proyecto y no forma parte de ninguna comisión más casta parasitaria no se consigue creo que hasta fernando iglesias trabaja más;Negativo
462;milei es el típico fascista que se llena la boca con el esfuerzo y el trabajo conceptos que ni conoce;Negativo
